Day;Latency;ID;Short_ID;ATF;ColorCode;Velocity;Distance
Day 1;29,5;7223;7223;PSD95-6ZF-VP64;#009E73;6,1243;
Day 1;87;C4A3;C4A3;HTT-NI;#0C7BDC;5,3246;
Day 1;21,3;290219143;9143;PSD95-6ZF-VP64;#009E73;4,8654;
Day 1;24,6;290219416;9416;PSD95-6ZF-VP64;#009E73;3,2456;
Day 1;208;290219699;9699;PSD95-6ZF-NoED;#E69F00;2,0068;
Day 1;251,6;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;1,9875;
Day 1;66,6;C4A2;C4A2;HTT-NI;#0C7BDC;1,5647;
Day 1;276;289838910;8910;HTT+NI;#994F00;1,564;
Day 1;300;9162;9162;PSD95-6ZF-NoED;#E69F00;1,5326;
Day 1;98,3;C2A3;C2A3;HTT-NI;#0C7BDC;1,368;
Day 1;148,9;287523931;3931;PSD95-6ZF-NoED;#E69F00;1,3564;
Day 1;66,6;9119;9119;HTT-NI;#0C7BDC;1,3253;
Day 1;300;9391;9391;PSD95-6ZF-NoED;#E69F00;1,3253;
Day 1;212;289838791;8791;HTT+NI;#994F00;1,325;
Day 1;232;C9A1;C9A1;HTT+NI;#994F00;1,256;
Day 1;287;289838836;8836;HTT+NI;#994F00;1,254;
Day 1;14,3;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;1,2356;
Day 1;21,3;290219548;9548;PSD95-6ZF-VP64;#009E73;1,2253;
Day 1;300;C3A2;C3A2;HTT+NI;#994F00;0,9985;
Day 1;164;C3A3;C3A3;HTT+NI;#994F00;0,9563;
Day 1;27,1;C2A2;C2A2;R-HTT-NI;error;;
Day 1;150,2;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 1;157;289836897;6897;R-HTT+NI;error;;
Day 1;300;C3A4;C3A4;R-HTT+NI;error;;
Day 2;4,5;C4A2;C4A2;HTT-NI;#0C7BDC;;
Day 2;5,9;290219548;9548;PSD95-6ZF-VP64;#009E73;;
Day 2;5,9;C1A0;C1A0;PSD95-6ZF-VP64;#009E73;;
Day 2;15,6;C4A3;C4A3;HTT-NI;#0C7BDC;;
Day 2;18;7223;7223;PSD95-6ZF-VP64;#009E73;;
Day 2;28,3;C3A4;C3A4;R-HTT+NI;error;;
Day 2;29;C2A3;C2A3;HTT-NI;#0C7BDC;;
Day 2;34,5;290219143;9143;PSD95-6ZF-VP64;#009E73;;
Day 2;37;C3A3;C3A3;HTT+NI;#994F00;;
Day 2;38;290219416;9416;PSD95-6ZF-VP64;#009E73;;
Day 2;42;287523931;3931;PSD95-6ZF-NoED;#E69F00;;
Day 2;59,6;C4A1;C4A1;R-PSD95-6ZF-NoED;error;;
Day 2;64,4;C9A2;C9A2;PSD95-6ZF-NoED;#E69F00;;
Day 2;91,8;9119;9119;HTT-NI;#0C7BDC;;
