;VIDEO;ANIMAL;BODY-PART;SHAPE;ENTRY FRAMES;EXIT FRAMES
0;D1_C4A1_cropped;Animal_1;Nose;H3;3659;3717
1;D1_C4A1_cropped;Animal_1;Nose;H3;3719;3719
2;D1_C4A1_cropped;Animal_1;Nose;H3;3807;3851
3;D1_C4A1_cropped;Animal_1;Nose;H3;3876;3895
4;D1_C4A1_cropped;Animal_1;Nose;H3;3914;3949
5;D1_C4A1_cropped;Animal_1;Nose;H3;8453;8504
0;D1_C4A1_cropped;Animal_1;Nose;H11;1128;1210
1;D1_C4A1_cropped;Animal_1;Nose;H11;1565;1600
2;D1_C4A1_cropped;Animal_1;Nose;H11;1611;1626
3;D1_C4A1_cropped;Animal_1;Nose;H11;4547;4572
0;D1_C4A1_cropped;Animal_1;Nose;H4;2255;2480
1;D1_C4A1_cropped;Animal_1;Nose;H4;8354;8383
0;D1_C4A1_cropped;Animal_1;Nose;H1;8641;8686
1;D1_C4A1_cropped;Animal_1;Nose;H1;11646;11646
2;D1_C4A1_cropped;Animal_1;Nose;H1;11648;11659
0;D1_C4A1_cropped;Animal_1;Nose;H6;1964;2002
1;D1_C4A1_cropped;Animal_1;Nose;H6;7782;7797
0;D1_C4A1_cropped;Animal_1;Nose;H10;198;332
1;D1_C4A1_cropped;Animal_1;Nose;H10;335;335
2;D1_C4A1_cropped;Animal_1;Nose;H10;341;344
3;D1_C4A1_cropped;Animal_1;Nose;H10;346;347
4;D1_C4A1_cropped;Animal_1;Nose;H10;354;363
5;D1_C4A1_cropped;Animal_1;Nose;H10;372;401
6;D1_C4A1_cropped;Animal_1;Nose;H10;406;407
7;D1_C4A1_cropped;Animal_1;Nose;H10;592;593
8;D1_C4A1_cropped;Animal_1;Nose;H10;598;599
9;D1_C4A1_cropped;Animal_1;Nose;H10;831;838
10;D1_C4A1_cropped;Animal_1;Nose;H10;1679;1711
11;D1_C4A1_cropped;Animal_1;Nose;H10;4678;4717
12;D1_C4A1_cropped;Animal_1;Nose;H10;5779;5887
0;D1_C4A1_cropped;Animal_1;Nose;H18;6378;6415
1;D1_C4A1_cropped;Animal_1;Nose;H18;6536;6646
2;D1_C4A1_cropped;Animal_1;Nose;H18;6843;6860
3;D1_C4A1_cropped;Animal_1;Nose;H18;6944;6987
4;D1_C4A1_cropped;Animal_1;Nose;H18;6989;6991
5;D1_C4A1_cropped;Animal_1;Nose;H18;10308;10563
0;D1_C4A1_cropped;Animal_1;Nose;H0;8845;9052
1;D1_C4A1_cropped;Animal_1;Nose;H0;9069;9145
2;D1_C4A1_cropped;Animal_1;Nose;H0;9164;9518
3;D1_C4A1_cropped;Animal_1;Nose;H0;9567;9575
4;D1_C4A1_cropped;Animal_1;Nose;H0;11133;11548
5;D1_C4A1_cropped;Animal_1;Nose;H0;11559;11567
6;D1_C4A1_cropped;Animal_1;Nose;H0;11729;12090
7;D1_C4A1_cropped;Animal_1;Nose;H0;12119;12490
8;D1_C4A1_cropped;Animal_1;Nose;H0;12497;12498
9;D1_C4A1_cropped;Animal_1;Nose;H0;12537;12538
0;D1_C4A1_cropped;Animal_1;Nose;H14;4120;4248
1;D1_C4A1_cropped;Animal_1;Nose;H14;4367;4388
2;D1_C4A1_cropped;Animal_1;Nose;H14;4391;4392
0;D1_C4A1_cropped;Animal_1;Nose;H13;4423;4438
0;D1_C4A1_cropped;Animal_1;Nose;H7;1886;1929
0;D1_C4A1_cropped;Animal_1;Nose;H2;8530;8606
0;D1_C4A1_cropped;Animal_1;Nose;H5;2132;2180
1;D1_C4A1_cropped;Animal_1;Nose;H5;2182;2182
