"";"ID";"Day";"SHAPE";"FIR";"ROI_Entry";"ROI_Exit";"error";"H0_Count";"Strategy";"Latency"
"...1";"00";"D1";"H0";218;216;584;3;7;"Mixed";7,2
"...2";"n0";"D1";"H0";11;3712;3723;67;2;"Mixed";123,733333333333
"NA...3";"negro";"D1";NA;NA;NA;NA;NA;0;"none";NA
"...4";"nn";"D1";"H0";67;3189;3295;39;1;"Serial";106,3
"...5";"nr";"D1";"H0";62;1445;1507;22;5;"Mixed";48,1666666666667
"...6";"r0";"D1";"H0";78;1071;1154;12;6;"Serial";35,7
"...7";"rr";"D1";"H0";89;971;1070;32;8;"Serial";32,3666666666667
"...8";"00";"D2";"H0";85;127;302;3;8;"Serial";4,23333333333333
"...9";"n0";"D2";"H0";208;1119;1463;29;10;"Serial";37,3
"...10";"negro";"D2";"H0";114;3327;3441;15;1;"Mixed";110,9
"...11";"nn";"D2";"H0";340;3026;3574;30;2;"Serial";100,866666666667
"...12";"nr";"D2";"H0";85;2553;2645;33;14;"Mixed";85,1
"...13";"r0";"D2";"H0";108;283;548;6;3;"Mixed";9,43333333333333
"...14";"rr";"D2";"H0";100;254;399;4;1;"Mixed";8,46666666666667
"...15";"00";"D3";"H0";19;1241;1288;15;8;"Mixed";41,3666666666667
"...16";"n0";"D3";"H0";144;2538;2750;21;9;"Serial";84,6
"NA...17";"negro";"D3";NA;NA;NA;NA;NA;0;"none";NA
"...18";"nn";"D3";"H0";163;1463;1734;9;2;"Serial";48,7666666666667
"...19";"nr";"D3";"H0";229;174;763;4;3;"Mixed";5,8
"...20";"r0";"D3";"H0";108;134;242;3;5;"Serial";4,46666666666667
"...21";"rr";"D3";"H0";94;182;276;4;5;"Serial";6,06666666666667
"...22";"00";"D4";"H0";99;567;682;11;9;"Serial";18,9
"...23";"n0";"D4";"H0";165;1369;1534;10;3;"Mixed";45,6333333333333
"NA...24";"negro";"D4";NA;NA;NA;NA;NA;0;"none";NA
"...25";"nn";"D4";"H0";9;1671;1680;6;1;"Mixed";55,7
"...26";"nr";"D4";"H0";176;57;262;4;7;"Serial";1,9
"...27";"r0";"D4";"H0";36;294;330;8;5;"Mixed";9,8
"...28";"rr";"D4";"H0";44;695;739;6;1;"Serial";23,1666666666667
"...29";"00";"D5";"H0";235;2300;2689;28;4;"Serial";76,6666666666667
"...30";"n0";"D5";"H0";257;1697;1991;23;4;"Mixed";56,5666666666667
"...31";"negro";"D5";"H0";91;123;230;3;3;"Serial";4,1
"...32";"nn";"D5";"H0";157;669;851;4;2;"Mixed";22,3
"...33";"nr";"D5";"H0";572;1160;1972;16;6;"Serial";38,6666666666667
"...34";"r0";"D5";"H0";78;101;179;3;6;"Serial";3,36666666666667
"...35";"rr";"D5";"H0";164;168;332;5;1;"Serial";5,6
