,VIDEO,ANIMAL,BODY-PART,SHAPE,ENTRY FRAMES,EXIT FRAMES
0,D1_3931cropped,Animal_1,Nose,H0,2080,2103
1,D1_3931cropped,Animal_1,Nose,H0,2110,2111
2,D1_3931cropped,Animal_1,Nose,H0,2115,2148
0,D1_3931cropped,Animal_1,Nose,H17,1920,1933
0,D1_3931cropped,Animal_1,Nose,H4,477,509
1,D1_3931cropped,Animal_1,Nose,H4,531,552
0,D1_3931cropped,Animal_1,Nose,H2,776,803
1,D1_3931cropped,Animal_1,Nose,H2,812,818
2,D1_3931cropped,Animal_1,Nose,H2,822,830
3,D1_3931cropped,Animal_1,Nose,H2,834,848
0,D1_3931cropped,Animal_1,Nose,H18,1978,1988
1,D1_3931cropped,Animal_1,Nose,H18,1993,2011
0,D1_3931cropped,Animal_1,Nose,H5,260,347
1,D1_3931cropped,Animal_1,Nose,H5,365,421
0,D1_3931cropped,Animal_1,Nose,H19,641,659
1,D1_3931cropped,Animal_1,Nose,H19,2044,2065
0,D1_3931cropped,Animal_1,Nose,H13,905,922
1,D1_3931cropped,Animal_1,Nose,H13,1038,1043
2,D1_3931cropped,Animal_1,Nose,H13,1045,1082
3,D1_3931cropped,Animal_1,Nose,H13,1096,1099
4,D1_3931cropped,Animal_1,Nose,H13,1107,1164
5,D1_3931cropped,Animal_1,Nose,H13,1425,1438
6,D1_3931cropped,Animal_1,Nose,H13,1476,1504
7,D1_3931cropped,Animal_1,Nose,H13,1507,1509
8,D1_3931cropped,Animal_1,Nose,H13,1512,1565
9,D1_3931cropped,Animal_1,Nose,H13,1569,1582
10,D1_3931cropped,Animal_1,Nose,H13,1587,1598
11,D1_3931cropped,Animal_1,Nose,H13,1614,1615
12,D1_3931cropped,Animal_1,Nose,H13,1673,1674
13,D1_3931cropped,Animal_1,Nose,H13,1680,1688
14,D1_3931cropped,Animal_1,Nose,H13,1709,1710
15,D1_3931cropped,Animal_1,Nose,H13,1713,1713
16,D1_3931cropped,Animal_1,Nose,H13,1718,1744
17,D1_3931cropped,Animal_1,Nose,H13,1751,1751
18,D1_3931cropped,Animal_1,Nose,H13,1800,1802
19,D1_3931cropped,Animal_1,Nose,H13,1804,1805
20,D1_3931cropped,Animal_1,Nose,H13,1837,1845
21,D1_3931cropped,Animal_1,Nose,H13,1848,1848
22,D1_3931cropped,Animal_1,Nose,H13,1859,1870
0,D1_8515cropped,Animal_1,Nose,H14,1100,1105
1,D1_8515cropped,Animal_1,Nose,H14,1338,1340
2,D1_8515cropped,Animal_1,Nose,H14,1342,1342
3,D1_8515cropped,Animal_1,Nose,H14,2398,2402
4,D1_8515cropped,Animal_1,Nose,H14,2937,2942
5,D1_8515cropped,Animal_1,Nose,H14,2945,2946
0,D1_8515cropped,Animal_1,Nose,H15,1086,1091
1,D1_8515cropped,Animal_1,Nose,H15,1303,1310
2,D1_8515cropped,Animal_1,Nose,H15,2014,2014
0,D1_8515cropped,Animal_1,Nose,H10,58,58
1,D1_8515cropped,Animal_1,Nose,H10,60,67
2,D1_8515cropped,Animal_1,Nose,H10,315,322
3,D1_8515cropped,Animal_1,Nose,H10,2741,2746
0,D1_8515cropped,Animal_1,Nose,H9,74,80
1,D1_8515cropped,Animal_1,Nose,H9,328,347
2,D1_8515cropped,Animal_1,Nose,H9,886,898
3,D1_8515cropped,Animal_1,Nose,H9,2309,2313
4,D1_8515cropped,Animal_1,Nose,H9,2725,2736
5,D1_8515cropped,Animal_1,Nose,H9,3790,3791
0,D1_8515cropped,Animal_1,Nose,H16,248,255
1,D1_8515cropped,Animal_1,Nose,H16,262,264
2,D1_8515cropped,Animal_1,Nose,H16,746,754
3,D1_8515cropped,Animal_1,Nose,H16,1019,1024
4,D1_8515cropped,Animal_1,Nose,H16,1290,1298
5,D1_8515cropped,Animal_1,Nose,H16,1462,1462
6,D1_8515cropped,Animal_1,Nose,H16,2015,2023
7,D1_8515cropped,Animal_1,Nose,H16,2417,2418
8,D1_8515cropped,Animal_1,Nose,H16,4158,4158
0,D1_8515cropped,Animal_1,Nose,H13,773,777
1,D1_8515cropped,Animal_1,Nose,H13,1118,1125
2,D1_8515cropped,Animal_1,Nose,H13,1966,1973
3,D1_8515cropped,Animal_1,Nose,H13,2391,2392
4,D1_8515cropped,Animal_1,Nose,H13,2818,2819
5,D1_8515cropped,Animal_1,Nose,H13,2822,2851
0,D1_8515cropped,Animal_1,Nose,H5,555,563
1,D1_8515cropped,Animal_1,Nose,H5,935,941
2,D1_8515cropped,Animal_1,Nose,H5,3678,3683
3,D1_8515cropped,Animal_1,Nose,H5,3688,3696
0,D1_8515cropped,Animal_1,Nose,H17,186,191
1,D1_8515cropped,Animal_1,Nose,H17,686,691
2,D1_8515cropped,Animal_1,Nose,H17,1280,1286
3,D1_8515cropped,Animal_1,Nose,H17,1422,1439
4,D1_8515cropped,Animal_1,Nose,H17,1477,1486
5,D1_8515cropped,Animal_1,Nose,H17,4119,4130
0,D1_8515cropped,Animal_1,Nose,H11,48,52
1,D1_8515cropped,Animal_1,Nose,H11,303,307
2,D1_8515cropped,Animal_1,Nose,H11,1894,1894
3,D1_8515cropped,Animal_1,Nose,H11,2340,2345
4,D1_8515cropped,Animal_1,Nose,H11,2768,2797
0,D1_8515cropped,Animal_1,Nose,H12,290,295
1,D1_8515cropped,Animal_1,Nose,H12,864,868
2,D1_8515cropped,Animal_1,Nose,H12,1193,1197
3,D1_8515cropped,Animal_1,Nose,H12,1915,1921
4,D1_8515cropped,Animal_1,Nose,H12,2350,2355
0,D1_8515cropped,Animal_1,Nose,H2,428,429
1,D1_8515cropped,Animal_1,Nose,H2,1700,1702
2,D1_8515cropped,Animal_1,Nose,H2,1705,1709
3,D1_8515cropped,Animal_1,Nose,H2,2208,2210
4,D1_8515cropped,Animal_1,Nose,H2,2529,2529
5,D1_8515cropped,Animal_1,Nose,H2,3423,3428
6,D1_8515cropped,Animal_1,Nose,H2,3434,3434
7,D1_8515cropped,Animal_1,Nose,H2,4296,4305
0,D1_8515cropped,Animal_1,Nose,H8,903,910
1,D1_8515cropped,Animal_1,Nose,H8,1859,1862
2,D1_8515cropped,Animal_1,Nose,H8,2281,2284
3,D1_8515cropped,Animal_1,Nose,H8,2695,2695
4,D1_8515cropped,Animal_1,Nose,H8,3743,3743
0,D1_8515cropped,Animal_1,Nose,H6,925,930
1,D1_8515cropped,Animal_1,Nose,H6,933,933
2,D1_8515cropped,Animal_1,Nose,H6,3701,3708
0,D1_8515cropped,Animal_1,Nose,H19,470,478
1,D1_8515cropped,Animal_1,Nose,H19,1573,1574
2,D1_8515cropped,Animal_1,Nose,H19,2138,2145
3,D1_8515cropped,Animal_1,Nose,H19,3111,3126
4,D1_8515cropped,Animal_1,Nose,H19,3292,3300
0,D1_8515cropped,Animal_1,Nose,H0,441,457
1,D1_8515cropped,Animal_1,Nose,H0,647,662
2,D1_8515cropped,Animal_1,Nose,H0,1599,1616
3,D1_8515cropped,Animal_1,Nose,H0,2150,2153
4,D1_8515cropped,Animal_1,Nose,H0,2970,3028
5,D1_8515cropped,Animal_1,Nose,H0,3106,3106
6,D1_8515cropped,Animal_1,Nose,H0,3331,3352
7,D1_8515cropped,Animal_1,Nose,H0,3354,3372
8,D1_8515cropped,Animal_1,Nose,H0,4017,4047
9,D1_8515cropped,Animal_1,Nose,H0,4388,4433
10,D1_8515cropped,Animal_1,Nose,H0,4449,4477
0,D1_8515cropped,Animal_1,Nose,H1,613,625
1,D1_8515cropped,Animal_1,Nose,H1,1640,1644
2,D1_8515cropped,Animal_1,Nose,H1,1648,1648
3,D1_8515cropped,Animal_1,Nose,H1,1696,1697
4,D1_8515cropped,Animal_1,Nose,H1,2176,2177
5,D1_8515cropped,Animal_1,Nose,H1,2180,2180
6,D1_8515cropped,Animal_1,Nose,H1,2501,2504
7,D1_8515cropped,Animal_1,Nose,H1,3072,3095
8,D1_8515cropped,Animal_1,Nose,H1,3390,3397
9,D1_8515cropped,Animal_1,Nose,H1,3402,3402
10,D1_8515cropped,Animal_1,Nose,H1,3938,3949
0,D1_8515cropped,Animal_1,Nose,H7,914,920
1,D1_8515cropped,Animal_1,Nose,H7,1831,1837
2,D1_8515cropped,Animal_1,Nose,H7,2673,2674
3,D1_8515cropped,Animal_1,Nose,H7,3734,3736
0,D1_8515cropped,Animal_1,Nose,H4,107,113
1,D1_8515cropped,Animal_1,Nose,H4,371,384
2,D1_8515cropped,Animal_1,Nose,H4,946,953
3,D1_8515cropped,Animal_1,Nose,H4,2230,2233
4,D1_8515cropped,Animal_1,Nose,H4,3612,3613
5,D1_8515cropped,Animal_1,Nose,H4,4196,4197
6,D1_8515cropped,Animal_1,Nose,H4,4200,4210
0,D1_8515cropped,Animal_1,Nose,H18,177,178
1,D1_8515cropped,Animal_1,Nose,H18,508,514
2,D1_8515cropped,Animal_1,Nose,H18,1246,1253
3,D1_8515cropped,Animal_1,Nose,H18,2101,2104
4,D1_8515cropped,Animal_1,Nose,H18,3185,3190
5,D1_8515cropped,Animal_1,Nose,H18,3223,3223
6,D1_8515cropped,Animal_1,Nose,H18,3273,3281
7,D1_8515cropped,Animal_1,Nose,H18,4077,4083
0,D1_8515cropped,Animal_1,Nose,H3,140,153
1,D1_8515cropped,Animal_1,Nose,H3,389,400
2,D1_8515cropped,Animal_1,Nose,H3,975,989
3,D1_8515cropped,Animal_1,Nose,H3,1739,1741
4,D1_8515cropped,Animal_1,Nose,H3,2560,2562
5,D1_8515cropped,Animal_1,Nose,H3,3435,3439
6,D1_8515cropped,Animal_1,Nose,H3,4243,4253
0,D1_8910cropped,Animal_1,Nose,H0,254,276
1,D1_8910cropped,Animal_1,Nose,H0,294,343
0,D1_8910cropped,Animal_1,Nose,H3,344,370
1,D1_8910cropped,Animal_1,Nose,H3,373,373
0,D1_8910cropped,Animal_1,Nose,H1,206,229
1,D1_8910cropped,Animal_1,Nose,H1,235,235
0,D1_8910cropped,Animal_1,Nose,H2,59,98
1,D1_8910cropped,Animal_1,Nose,H2,104,104
2,D1_8910cropped,Animal_1,Nose,H2,106,107
3,D1_8910cropped,Animal_1,Nose,H2,114,117
4,D1_8910cropped,Animal_1,Nose,H2,144,147
5,D1_8910cropped,Animal_1,Nose,H2,174,175
0,D1_8930cropped,Animal_1,Nose,H8,1680,1690
1,D1_8930cropped,Animal_1,Nose,H8,1747,1763
2,D1_8930cropped,Animal_1,Nose,H8,2627,2642
3,D1_8930cropped,Animal_1,Nose,H8,2898,2937
4,D1_8930cropped,Animal_1,Nose,H8,3433,3472
0,D1_8930cropped,Animal_1,Nose,H15,3628,3636
1,D1_8930cropped,Animal_1,Nose,H15,3651,3663
2,D1_8930cropped,Animal_1,Nose,H15,3683,3689
3,D1_8930cropped,Animal_1,Nose,H15,3713,3759
4,D1_8930cropped,Animal_1,Nose,H15,3763,3782
5,D1_8930cropped,Animal_1,Nose,H15,4295,4317
6,D1_8930cropped,Animal_1,Nose,H15,4596,4609
7,D1_8930cropped,Animal_1,Nose,H15,4660,4660
8,D1_8930cropped,Animal_1,Nose,H15,4664,4683
9,D1_8930cropped,Animal_1,Nose,H15,4685,4692
10,D1_8930cropped,Animal_1,Nose,H15,4697,4698
0,D1_8930cropped,Animal_1,Nose,H11,46,79
1,D1_8930cropped,Animal_1,Nose,H11,98,109
2,D1_8930cropped,Animal_1,Nose,H11,208,223
3,D1_8930cropped,Animal_1,Nose,H11,880,888
0,D1_8930cropped,Animal_1,Nose,H2,1955,1960
0,D1_8930cropped,Animal_1,Nose,H14,3799,3847
1,D1_8930cropped,Animal_1,Nose,H14,3866,3919
2,D1_8930cropped,Animal_1,Nose,H14,4078,4082
3,D1_8930cropped,Animal_1,Nose,H14,4131,4132
4,D1_8930cropped,Animal_1,Nose,H14,4382,4431
5,D1_8930cropped,Animal_1,Nose,H14,4469,4475
6,D1_8930cropped,Animal_1,Nose,H14,4477,4478
7,D1_8930cropped,Animal_1,Nose,H14,4483,4522
0,D1_8930cropped,Animal_1,Nose,H13,339,352
0,D1_8930cropped,Animal_1,Nose,H10,161,169
1,D1_8930cropped,Animal_1,Nose,H10,175,176
2,D1_8930cropped,Animal_1,Nose,H10,178,185
3,D1_8930cropped,Animal_1,Nose,H10,2966,3021
4,D1_8930cropped,Animal_1,Nose,H10,3031,3037
5,D1_8930cropped,Animal_1,Nose,H10,3051,3063
0,D1_8930cropped,Animal_1,Nose,H12,800,840
1,D1_8930cropped,Animal_1,Nose,H12,844,855
2,D1_8930cropped,Animal_1,Nose,H12,950,957
3,D1_8930cropped,Animal_1,Nose,H12,959,959
4,D1_8930cropped,Animal_1,Nose,H12,963,984
5,D1_8930cropped,Animal_1,Nose,H12,1052,1069
6,D1_8930cropped,Animal_1,Nose,H12,1074,1089
7,D1_8930cropped,Animal_1,Nose,H12,1092,1116
8,D1_8930cropped,Animal_1,Nose,H12,1125,1130
9,D1_8930cropped,Animal_1,Nose,H12,1132,1134
10,D1_8930cropped,Animal_1,Nose,H12,1139,1157
11,D1_8930cropped,Animal_1,Nose,H12,1166,1173
12,D1_8930cropped,Animal_1,Nose,H12,1197,1197
