,VIDEO,ANIMAL,BODY-PART,SHAPE,ENTRY FRAMES,EXIT FRAMES
0,D1_C1A1,Animal_1,Nose,H2,5221,5249
1,D1_C1A1,Animal_1,Nose,H2,5255,5968
2,D1_C1A1,Animal_1,Nose,H2,5977,5981
3,D1_C1A1,Animal_1,Nose,H2,5992,5992
4,D1_C1A1,Animal_1,Nose,H2,6000,6005
5,D1_C1A1,Animal_1,Nose,H2,6011,6057
6,D1_C1A1,Animal_1,Nose,H2,6083,6088
7,D1_C1A1,Animal_1,Nose,H2,6101,6249
8,D1_C1A1,Animal_1,Nose,H2,6289,6826
9,D1_C1A1,Animal_1,Nose,H2,6881,7562
10,D1_C1A1,Animal_1,Nose,H2,7676,7704
11,D1_C1A1,Animal_1,Nose,H2,7906,7921
12,D1_C1A1,Animal_1,Nose,H2,7923,8445
13,D1_C1A1,Animal_1,Nose,H2,8461,8461
14,D1_C1A1,Animal_1,Nose,H2,8510,8511
15,D1_C1A1,Animal_1,Nose,H2,8522,8716
16,D1_C1A1,Animal_1,Nose,H2,8721,8723
17,D1_C1A1,Animal_1,Nose,H2,8733,8733
18,D1_C1A1,Animal_1,Nose,H2,8848,8961
19,D1_C1A1,Animal_1,Nose,H2,9458,9493
20,D1_C1A1,Animal_1,Nose,H2,9717,10327
21,D1_C1A1,Animal_1,Nose,H2,10374,10481
22,D1_C1A1,Animal_1,Nose,H2,10483,10583
23,D1_C1A1,Animal_1,Nose,H2,10715,10819
24,D1_C1A1,Animal_1,Nose,H2,10834,10838
25,D1_C1A1,Animal_1,Nose,H2,10840,10840
26,D1_C1A1,Animal_1,Nose,H2,10913,10914
27,D1_C1A1,Animal_1,Nose,H2,10918,11080
28,D1_C1A1,Animal_1,Nose,H2,11092,11095
29,D1_C1A1,Animal_1,Nose,H2,11097,11102
30,D1_C1A1,Animal_1,Nose,H2,11116,11122
31,D1_C1A1,Animal_1,Nose,H2,11140,11170
32,D1_C1A1,Animal_1,Nose,H2,11313,11359
33,D1_C1A1,Animal_1,Nose,H2,11372,11385
34,D1_C1A1,Animal_1,Nose,H2,11623,11696
35,D1_C1A1,Animal_1,Nose,H2,11719,11721
36,D1_C1A1,Animal_1,Nose,H2,11853,11856
37,D1_C1A1,Animal_1,Nose,H2,11871,11890
38,D1_C1A1,Animal_1,Nose,H2,11895,11899
39,D1_C1A1,Animal_1,Nose,H2,11909,11916
40,D1_C1A1,Animal_1,Nose,H2,11968,11968
41,D1_C1A1,Animal_1,Nose,H2,11976,12177
42,D1_C1A1,Animal_1,Nose,H2,12283,12659
43,D1_C1A1,Animal_1,Nose,H2,12708,12846
44,D1_C1A1,Animal_1,Nose,H2,13174,13324
45,D1_C1A1,Animal_1,Nose,H2,13538,13788
46,D1_C1A1,Animal_1,Nose,H2,14029,14528
47,D1_C1A1,Animal_1,Nose,H2,14601,14927
48,D1_C1A1,Animal_1,Nose,H2,14947,14964
49,D1_C1A1,Animal_1,Nose,H2,15036,15041
50,D1_C1A1,Animal_1,Nose,H2,15043,15046
51,D1_C1A1,Animal_1,Nose,H2,15051,15055
52,D1_C1A1,Animal_1,Nose,H2,15057,15129
53,D1_C1A1,Animal_1,Nose,H2,15369,15553
54,D1_C1A1,Animal_1,Nose,H2,15921,15943
55,D1_C1A1,Animal_1,Nose,H2,15961,15988
56,D1_C1A1,Animal_1,Nose,H2,16081,16085
57,D1_C1A1,Animal_1,Nose,H2,16089,16197
58,D1_C1A1,Animal_1,Nose,H2,16239,16314
59,D1_C1A1,Animal_1,Nose,H2,16320,16329
60,D1_C1A1,Animal_1,Nose,H2,16333,16335
61,D1_C1A1,Animal_1,Nose,H2,16341,16341
62,D1_C1A1,Animal_1,Nose,H2,16352,16472
63,D1_C1A1,Animal_1,Nose,H2,16479,16481
64,D1_C1A1,Animal_1,Nose,H2,16665,16846
65,D1_C1A1,Animal_1,Nose,H2,16874,16879
66,D1_C1A1,Animal_1,Nose,H2,17133,17139
67,D1_C1A1,Animal_1,Nose,H2,17274,17435
68,D1_C1A1,Animal_1,Nose,H2,17474,17476
69,D1_C1A1,Animal_1,Nose,H2,17482,17527
70,D1_C1A1,Animal_1,Nose,H2,17555,17669
0,D1_C1A2,Animal_1,Nose,H8,12523,12578
1,D1_C1A2,Animal_1,Nose,H8,12589,12591
2,D1_C1A2,Animal_1,Nose,H8,17271,17310
0,D1_C1A2,Animal_1,Nose,H3,1457,1557
1,D1_C1A2,Animal_1,Nose,H3,1608,1614
2,D1_C1A2,Animal_1,Nose,H3,1617,1706
3,D1_C1A2,Animal_1,Nose,H3,1775,1779
4,D1_C1A2,Animal_1,Nose,H3,1819,1819
5,D1_C1A2,Animal_1,Nose,H3,1821,1821
6,D1_C1A2,Animal_1,Nose,H3,1825,1827
7,D1_C1A2,Animal_1,Nose,H3,1839,1885
8,D1_C1A2,Animal_1,Nose,H3,1896,1898
9,D1_C1A2,Animal_1,Nose,H3,1905,2141
10,D1_C1A2,Animal_1,Nose,H3,2146,2147
11,D1_C1A2,Animal_1,Nose,H3,2165,2765
12,D1_C1A2,Animal_1,Nose,H3,2767,2767
13,D1_C1A2,Animal_1,Nose,H3,2789,2915
14,D1_C1A2,Animal_1,Nose,H3,2962,3014
15,D1_C1A2,Animal_1,Nose,H3,3054,3073
16,D1_C1A2,Animal_1,Nose,H3,3599,3651
17,D1_C1A2,Animal_1,Nose,H3,3667,3675
18,D1_C1A2,Animal_1,Nose,H3,3750,3791
19,D1_C1A2,Animal_1,Nose,H3,3801,3999
20,D1_C1A2,Animal_1,Nose,H3,4088,4089
21,D1_C1A2,Animal_1,Nose,H3,4092,4092
22,D1_C1A2,Animal_1,Nose,H3,4096,4233
23,D1_C1A2,Animal_1,Nose,H3,4366,4560
24,D1_C1A2,Animal_1,Nose,H3,4680,5737
25,D1_C1A2,Animal_1,Nose,H3,5743,5745
26,D1_C1A2,Animal_1,Nose,H3,5987,6283
27,D1_C1A2,Animal_1,Nose,H3,6372,6377
28,D1_C1A2,Animal_1,Nose,H3,6379,6427
29,D1_C1A2,Animal_1,Nose,H3,6464,6522
30,D1_C1A2,Animal_1,Nose,H3,6547,6625
31,D1_C1A2,Animal_1,Nose,H3,6640,6764
32,D1_C1A2,Animal_1,Nose,H3,7309,7311
33,D1_C1A2,Animal_1,Nose,H3,7315,7328
34,D1_C1A2,Animal_1,Nose,H3,7332,7406
35,D1_C1A2,Animal_1,Nose,H3,7411,7411
36,D1_C1A2,Animal_1,Nose,H3,7587,7815
37,D1_C1A2,Animal_1,Nose,H3,8054,8104
38,D1_C1A2,Animal_1,Nose,H3,8106,8108
39,D1_C1A2,Animal_1,Nose,H3,8110,8113
40,D1_C1A2,Animal_1,Nose,H3,8130,8165
41,D1_C1A2,Animal_1,Nose,H3,8380,8431
42,D1_C1A2,Animal_1,Nose,H3,8437,8532
