"";"ID";"Day";"SHAPE";"FIR";"ROI_Entry";"ROI_Exit";"error";"H0_Count";"Strategy";"Latency"
"NA...1";"C1A1";"D1";NA;NA;NA;NA;NA;0;"none";NA
"NA...2";"C1A2";"D1";NA;NA;NA;NA;NA;0;"none";NA
"...3";"C1A3";"D1";"H0";813;12604;13797;31;2;"Serial";420,133333333333
"...4";"C2A1";"D1";"H0";402;861;1349;1;3;"Direct";28,7
"...5";"C2A2";"D1";"H0";62;1633;1695;2;7;"Serial";54,4333333333333
"...6";"C2A3";"D1";"H0";146;5904;6052;13;5;"Serial";196,8
"...7";"C2A4";"D1";"H0";299;1885;2248;3;3;"Mixed";62,8333333333333
"NA...8";"C1A1";"D2";NA;NA;NA;NA;NA;0;"none";NA
"...9";"C1A2";"D2";"H0";285;6139;6506;4;2;"Serial";204,633333333333
"...10";"C1A3";"D2";"H0";247;349;780;2;4;"Mixed";11,6333333333333
"...11";"C2A1";"D2";"H0";44;5042;5092;4;3;"Serial";168,066666666667
"...12";"C2A2";"D2";"H0";394;8316;8875;21;6;"Serial";277,2
"...13";"C2A3";"D2";"H0";473;1741;2521;11;5;"Serial";58,0333333333333
"...14";"C2A4";"D2";"H0";206;2256;2588;6;6;"Serial";75,2
"NA...15";"C1A1";"D3";NA;NA;NA;NA;NA;0;"none";NA
"...16";"C1A2";"D3";"H0";1193;816;2450;2;1;"Mixed";27,2
"...17";"C1A3";"D3";"H0";236;831;1202;4;8;"Serial";27,7
"...18";"C2A1";"D3";"H0";58;4959;5017;2;2;"Serial";165,3
"...19";"C2A2";"D3";"H0";243;6169;6589;11;6;"Serial";205,633333333333
"...20";"C2A3";"D3";"H0";674;2000;2879;11;1;"Serial";66,6666666666667
"...21";"C2A4";"D3";"H0";287;946;1233;4;1;"Serial";31,5333333333333
"...22";"C1A1";"D4";"H0";672;5994;7221;1;2;"Direct";199,8
"...23";"C1A2";"D4";"H0";604;5123;5727;9;1;"Mixed";170,766666666667
"...24";"C1A3";"D4";"H0";835;216;1528;1;6;"Serial";7,2
"...25";"C2A1";"D4";"H0";15;1514;1529;3;3;"Mixed";50,4666666666667
"...26";"C2A2";"D4";"H0";129;4100;4322;18;6;"Mixed";136,666666666667
"...27";"C2A3";"D4";"H0";594;1775;2567;18;1;"Serial";59,1666666666667
"...28";"C2A4";"D4";"H0";132;1099;1301;15;1;"Serial";36,6333333333333
"NA...29";"C1A1";"D5";NA;NA;NA;NA;NA;0;"none";NA
"...30";"C1A2";"D5";"H0";171;1838;2009;4;1;"Serial";61,2666666666667
"...31";"C1A3";"D5";"H0";138;273;485;1;6;"Mixed";9,1
"...32";"C2A1";"D5";"H0";77;15253;15354;14;1;"Mixed";508,433333333333
"...33";"C2A2";"D5";"H0";161;2305;2576;5;7;"Serial";76,8333333333333
"...34";"C2A3";"D5";"H0";363;1481;1881;19;1;"Serial";49,3666666666667
"...35";"C2A4";"D5";"H0";201;134;379;1;1;"Mixed";4,46666666666667
"...36";"C1A1";"D7";"H0";1039;16638;17999;6;1;"Serial";554,6
"...37";"C1A2";"D7";"H0";398;853;1259;3;1;"Serial";28,4333333333333
"...38";"C1A3";"D7";"H0";265;366;662;2;7;"Serial";12,2
"NA...39";"C2A1";"D7";NA;NA;NA;NA;NA;0;"none";NA
"...40";"C2A2";"D7";"H0";86;753;870;2;5;"Serial";25,1
"...41";"C2A3";"D7";"H0";273;671;976;10;1;"Serial";22,3666666666667
"...42";"C2A4";"D7";"H0";206;1100;1470;11;1;"Mixed";36,6666666666667
