Label;Object;Overlap_vol_vox;Coloc_fromA;Coloc_fromB;Coloc_fromAB;ATF;Date;Comb;Batch;ColorCode;Symbol
;objA1_objB1;1093;3.353;1.216;0,900;PSD95-6ZF-NoED;Apr_122022;GFP-HA;Dec 2020;#E69F00;22
;;;;;1,200;PSD95-6ZF-NoED;;GFP-HA;Nov 2021;#E69F00;23
;;;;;2,100;PSD95-6ZF-NoED;;GFP-HA;Dec 2020;#E69F00;22
;objA1_objB1;1093;3.353;1.216;3,200;PSD95-6ZF-NoED;Apr_122022;GFP-HA;Nov 2021;#E69F00;23
VP64-500-M15-3X1;objA1_objB1;5938;15.497;8.539;5,826;PSD95-6ZF-VP64;Apr_122022;GFP-HA;Dec 2020;#009E73;22
VP64_100M3_3x;objA1_objB3;133;0,418;0,271;0,165;PSD95-6ZF-VP64;Mar_292022;GFP-HA;Nov 2021;#009E73;23
;;;;;1,700;PSD95-6ZF-VP64;;GFP-HA;Dec 2020;#009E73;22
VP64_100M3_3x;objA1_objB3;133;0,418;0,271;1,365;PSD95-6ZF-VP64;Mar_292022;GFP-HA;Nov 2021;#009E73;23
C4-Mar_292022_VP64_100_M1_3x;objA3_objB1;71253;30.383;99.906;78,374;PSD95-6ZF-VP64;Apr_122022;NucBlue-HA;Dec 2020;#009E73;22
;;;;;60,564;PSD95-6ZF-VP64;;NucBlue-HA;Nov 2021;#009E73;23
;;;;;75,156;PSD95-6ZF-VP64;;NucBlue-HA;Dec 2020;#009E73;22
;;;;;56,135;PSD95-6ZF-VP64;;NucBlue-HA;Nov 2021;#009E73;23
;;;;;80,654;PSD95-6ZF-NoED;;NucBlue-HA;Dec 2020;#E69F00;22
;;;;;83,374;PSD95-6ZF-NoED;;NucBlue-HA;Nov 2021;#E69F00;23
;;;;;85,350;PSD95-6ZF-NoED;;NucBlue-HA;Dec 2020;#E69F00;22
;;;;;77,250;PSD95-6ZF-NoED;;NucBlue-HA;Nov 2021;#E69F00;23
