Short_ID;Weight;Force;Age;ATF;ColorCode
6897;16;0.73;S6;HTT+NI;#994F00
8791;16;0.72;S6;HTT+NI;#994F00
8836;16;0.65;S6;HTT+NI;#994F00
8910;17;0.64;S6;HTT+NI;#994F00
C3A2;19;0.96;S6;HTT+NI;#994F00
C3A3;17;0.93;S6;HTT+NI;#994F00
C3A4;16;0.91;S6;HTT-NI;#0C7BDC
C9A1;16;0.92;S6;HTT-NI;#0C7BDC
9423;14;0.95;S6;HTT-NI;#0C7BDC
C2A2;18;1.22;S6;HTT-NI;#0C7BDC
C2A3;17;0.96;S6;HTT-NI;#0C7BDC
7223;14;0.6;S6;PSD95-6ZF-VP64;#009E73
9143;19;0.7;S6;PSD95-6ZF-VP64;#009E73
9416;14;0.8;S6;PSD95-6ZF-VP64;#009E73
9548;19;1.1;S6;PSD95-6ZF-VP64;#009E73
C1A0;18;0.9;S6;PSD95-6ZF-VP64;#009E73
3931;19;0.6;S6;PSD95-6ZF-NoED;#E69F00
9162;17;0.8;S6;PSD95-6ZF-NoED;#E69F00
9391;16;0.7;S6;PSD95-6ZF-NoED;#E69F00
9699;18;0.8;S6;PSD95-6ZF-NoED;#E69F00
6897;17;0.7;S9;HTT+NI;#994F00
C3A4;18;0.7;S9;HTT+NI;#994F00
C3A2;17;0.6;S9;HTT+NI;#994F00
8836;16;0.6;S9;HTT+NI;#994F00
8791;22;1;S9;HTT+NI;#994F00
C9A1;20;0.9;S9;HTT+NI;#994F00
8910;15;0.7;S9;HTT+NI;#994F00
C3A3;18;0.7;S9;HTT+NI;#994F00
C2A2;20;0.9;S9;HTT-NI;#0C7BDC
9119;18;0.9;S9;HTT-NI;#0C7BDC
9312;16;0.8;S9;HTT-NI;#0C7BDC
9423;18;0.9;S9;HTT-NI;#0C7BDC
C2A3;18;1.1;S9;HTT-NI;#0C7BDC
C4A3;21;1.1;S9;HTT-NI;#0C7BDC
C4A2;20;1;S9;HTT-NI;#0C7BDC
9143;17;0.9;S9;PSD95-6ZF-VP64;#009E73
9548;15;0.7;S9;PSD95-6ZF-VP64;#009E73
C1A0;20;0.9;S9;PSD95-6ZF-VP64;#009E73
9416;20;0.8;S9;PSD95-6ZF-VP64;#009E73
7223;20;0.6;S9;PSD95-6ZF-VP64;#009E73
6512;15;0.8;S9;PSD95-6ZF-VP64;#009E73
C4A1;21;0.7;S9;PSD95-6ZF-NoED;#E69F00
9699;19;1.4;S9;PSD95-6ZF-NoED;#E69F00
9391;19;0.7;S9;PSD95-6ZF-NoED;#E69F00
3931;18;0.9;S9;PSD95-6ZF-NoED;#E69F00
9162;17;0.7;S9;PSD95-6ZF-NoED;#E69F00
