#;ID;Short_ID;Bith date;Genotyoe;Sex;Virus;ATF;Viral Batch ;ExpCode_1;ExpCode_2;ExpCode_3;ExpCode_4;ExpCode_5;ExpCode_6;ExpCode_7;Binding;Symbol;ColorCode
190;C1A1;C1A1;16-06-2021;Htt+;Hembra;NI;HTT+NI;;QP14;WB14;BHRR;BHBM;;;S14;;21;#994F00
200;9091;9091;05-08-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;QP07;WB07;;;;;S7;;22;#E69F00
180;C3A2;C3A2;12-06-2021;Htt+;Hembra;NI;HTT+NI;;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
154;289838582;8582;28-05-2021;Htt+;Hembra;NI;HTT+NI;;QP07;;;;;;S7;;21;#994F00
142;287491508;1508;27-05-2021;Htt-;Hembra;NI;HTT-NI;;QP07;WB07;;;;;S7;;21;#0C7BDC
181;C3A4;C3A4;12-06-2021;Htt+;Hembra;NI;HTT+NI;;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
43;287556747;6747;08-01-2021;Htt+;Hembra;NI;HTT+NI;;QP14;;BHRR6;;;;S14;;21;#994F00
221;289259162;9163;04-01-2022;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Nov 2021;QP07;WB07;;;;;S7;;23;#E69F00
23;289752393;;12-03-2020;Htt+;;NI;HTT+NI;;QP14;;;;;;;;21;#994F00
203;289838187;8187;15-05-2022;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Nov 2021;QP07;WB07;CLPS;;;;S7;;23;#009E73
30;289756897;;04-01-2021;Htt+;Hembra;NI;HTT+NI;;QP14;;;;;;;;21;#994F00
170;289838715;8715;29-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;;WB07;;;;;S7;;22;#009E73
153;289838831;8831;27-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;QP07;WB07;;;;;S7;;22;#009E73
156;290219163;;28-05-2021;Htt+;Hembra;NI;HTT+NI;;QP14;;;;;;;;21;#994F00
48;289838887;8887;13-01-2021;Htt-;Hembra;NI;HTT-NI;;;WB07;;;;;S7;;21;#0C7BDC
114;289838836;8836;15-03-2021;Htt+;Hembra;NI;HTT+NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
124;289838791;8791;22-03-2021;Htt+;Hembra;NI;HTT+NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
179;C3A3;C3A3;12-06-2021;Htt+;Hembra;NI;HTT+NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
213;289836897;6897;02-01-2022;Htt+;Hembra;NI;HTT+NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
173;C9A1;C9A1;09-06-2021;Htt+;Hembra;NI;HTT+NI;;;;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
189;289838910;8910;16-06-2021;Htt+;Hembra;NI;HTT+NI;;;;BHRR6;BHRR9;BO07;BHBM;S14;;21;#994F00
138;289838262;8262;27-05-2021;Htt-;Hembra;NI;HTT-NI;;QP07;;;;;;S7;;21;#0C7BDC
150;289838966;8966;27-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;QP07;WB07;WGHT;;;;S7;;22;#009E73
52;289838087;8087;13-01-2021;Htt-;Hembra;NI;HTT-NI;;QP14;;;;;;S14;;21;#0C7BDC
161;289846362;6362;28-05-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;QP07;WB07;;;;;S7;;22;#E69F00
146;286992078;2079;27-05-2021;Htt-;Hembra;NI;HTT-NI;;QP14;;;;;;S14;;21;#0C7BDC
160;289847153;;28-05-2021;Htt-;Hembra;NI;HTT-NI;;QP14;;;;;;;;21;#0C7BDC
143;289756386;6386;27-05-2021;Htt-;Hembra;NI;HTT-NI;;QP07;;BHRR6;;;;S7;;21;#0C7BDC
131;289846926;6926;22-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;QP07;WB07;WGHT;;;;S7;;22;#009E73
205;290219714;9714;31-12-2021;Htt-;Hembra;NI;HTT-NI;;QP07;;BHRR6;PC07;;;S7;;21;#0C7BDC
149;289847190;7190;27-05-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;QP07;WB07;;;;;S7;;22;#E69F00
162;289838226;;28-05-2021;Htt-;Hembra;NI;HTT-NI;;QP14;;;;;;;;21;#0C7BDC
197;289838831;8832;05-08-2021;Htt-;Hembra;NI;HTT-NI;;QP07;;BHRR6;;;;S7;;21;#0C7BDC
219;290219093;9093;04-01-2022;Htt-;Hembra;NI;HTT-NI;;PC07;WB07;;;;;S7;;21;#0C7BDC
207;290219119;9119;31-12-2021;Htt-;Hembra;NI;HTT-NI;;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#0C7BDC
195;289838604;8604;02-08-2021;Htt-;Hembra;NI;HTT-NI;;QP14;WB14;;;;;S14;;21;#0C7BDC
218;290219320;9320;04-01-2022;Htt+;Hembra;NI;HTT+NI;;QP07;WB07;PC07;;;;S7;;21;#994F00
209;C4A3;C4A3;01-01-2022;Htt-;Hembra;NI;HTT-NI;;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#0C7BDC
225;290219614;9614;15-05-2022;Htt-;Hembra;NI;HTT-NI;;CLPS;WB07;PC07;;;;S7;;21;#0C7BDC
214;290219423;9423;02-01-2022;Htt-;Hembra;NI;HTT-NI;;QP14;WB14;BHRR6;BHRR9;BO07;KI;S14;;21;#0C7BDC
176;C4A2;C4A2;10-06-2021;Htt-;Hembra;NI;HTT-NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#0C7BDC
220;290219983;9983;04-01-2022;Htt-;Hembra;NI;HTT-NI;;;WB07;;;;;S7;;21;#0C7BDC
187;C2A2;C2A2;15-06-2021;Htt-;Hembra;NI;HTT-NI;;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;21;#0C7BDC
37;289838582;8583;06-01-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;;;;;;;;22;#E69F00
186;C2A3;C2A3;15-06-2021;Htt-;Hembra;NI;HTT-NI;;WB14;;BHRR6;BHRR9;BO07;BHBM;S14;;21;#0C7BDC
201;287491508;1509;05-08-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;;;;;;;;;22;#009E73
217;290219312;9312;04-01-2022;Htt-;Hembra;NI;HTT-NI;;;WB14;BHRR6;BHRR9;BO07;;S14;;21;#0C7BDC
3;289753056;;06-03-2020;Htt-;Hembra;HTT-;HTT-NI;;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;21;#0C7BDC
137;354625472;5472;27-05-2021;Htt+;Hembra;NI;HTT+NI;;QP07;WB07;;;;;S7;;21;#994F00
175;C9A0;C9A0;09-06-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;WB14;;;;;S14;;22;#E69F00
216;290219691;9691;04-01-2022;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Nov 2021;QP14;WB14;;;;;S14;;23;#E69F00
125;SC;C3A4;22-03-2021;Htt-;Hembra;NI;HTT-NI;;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;21;#0C7BDC
192;287523931;3931;16-06-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;22;#E69F00
199;354625472;5473;05-08-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;WB07;;;;;S7;;22;#E69F00
174;C9A2;C9A2;09-06-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;22;#E69F00
177;C4A1;C4A1;10-06-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;QP14;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;22;#E69F00
211;290219699;9699;01-01-2022;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Nov 2021;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;23;#E69F00
223;140722-1;7221;15-05-2022;Htt+;Hembra;NI;HTT+NI;;;WB07;;;;;S7;;21;#994F00
212;9391;9391;01-01-2022;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Nov 2021;;WB14;BHRR6;BHRR9;BO07;BHBM;S14;;23;#E69F00
224;140722-2;7222;15-05-2022;Htt+;Hembra;NI;HTT+NI;;CLPS;WB07;;;;;S7;;21;#994F00
123;290219162;9162;15-03-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;;BHRR6;BHRR9;BO07;BHBM;S14;;22;#E69F00
204;290248557;;05-08-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;;;;;;;;22;#E69F00
12;289752609;;09-03-2020;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Oct 2019;;WGHT;;;;;;;24;#009E73
202;289838966;8967;05-08-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;QP07;;;;;;;;22;#009E73
13;289752245;;09-03-2020;Htt+;Macho;NI;HTT+NI;;;;;BHRR9;WB14;BHBM;;;21;#994F00
14;289752486;;09-03-2020;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
15;289965586;;09-03-2020;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
21;289752694;;12-03-2020;Htt+;ND;NI;HTT+NI;;;;;;;;;;21;#994F00
22;289752914;;12-03-2020;Htt+;ND;NI;HTT+NI;;;;;;;;;;21;#994F00
25;289756484;;04-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
26;289756745;;04-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
51;289838612;;13-01-2021;KI;ND;NI;HTT+NI;;;;;;;;;;21;#994F00
53;289839059;;13-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
54;289838831;;13-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
55;289838154;;13-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
59;289838996;;14-01-2021;Htt+;ND;NI;HTT+NI;;;;;;;;;;21;#994F00
65;1508;1510;15-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
66;6914;;15-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
67;6926;;15-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
68;6274;;15-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
69;3005;;15-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
70;7580;;15-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
81;7153;;16-01-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
82;7190;;16-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
83;6694;;16-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
84;7264;;16-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
90;289836897;;10-03-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
91;289836444;;10-03-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
86;289838342;;10-03-2021;Htt+;Hembra;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
87;287020606;;10-03-2021;Htt+;Hembra;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
134;289838930;;19-05-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
135;289846926;;19-05-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
136;289838788;;19-05-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
144;289838087;;27-05-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
145;289838124;;27-05-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
97;289838546;;12-03-2021;Htt+;Macho;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
106;289838224;;14-03-2021;Htt+;Hembra;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
159;289756706;;28-05-2021;Htt+;Macho;NI;HTT+NI;;;;;;;;;;21;#994F00
107;289838224;;14-03-2021;Htt+;Macho;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
109;287127221;;14-03-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;22;#E69F00
178;C3A1;;12-06-2021;Htt+;Hembra;NI;HTT+NI;;BHRR;BHBM;;;;;;;21;#994F00
117;289838124;;15-03-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;22;#E69F00
38;287257800;7800;06-01-2021;Htt+;Macho;VP64;PSD95-6ZF-VP64;Dec 2020;QP14;WB14;;;;;S14;;22;#009E73
182;9917;;15-06-2021;Htt+;Hembra;NI;HTT+NI;;BHRR;BHBM;;;;;;;21;#994F00
183;C2A4;;15-06-2021;Htt+;Hembra;NI;HTT+NI;;KI;;;;;;;;21;#994F00
184;8899;;15-06-2021;Htt+;Hembra;NI;HTT+NI;;BHRR;BHBM;;;;;;;21;#994F00
196;289847264;;02-08-2021;Htt+;Hembra;NI;HTT+NI;;;;;;;;;;21;#994F00
210;290219509;;01-01-2022;Htt+;Hembra;NI;HTT+NI;;;PC07;;;;;;;21;#994F00
74;354625472;;16-01-2021;Htt+;Hembra;NI;HTT+NI;;WGHT;;;;;;;;21;#994F00
172;289838817;;08-06-2021;Htt+;Hembra;NI;HTT+NI;;PC07;;;;;;;;21;#994F00
208;7WK1;7WK1;31-12-2021;Htt+;Hembra;NI;HTT+NI;;;WB07;;;;;S7;;21;#994F00
128;289838839;;22-03-2021;Htt-;Hembra;NoED;HTT-NI;Dec 2020;;;;;;;;;22;#0C7BDC
6;289490328;;06-03-2020;Htt-;Macho;NoED;HTT-NI;Oct 2019;WGHT;;;;;;;;24;#0C7BDC
10;289752513;;06-03-2020;Htt-;Macho;VP64;HTT-NI;Oct 2019;WGHT;;;;;;;;24;#0C7BDC
11;289752641;;06-03-2020;Htt-;Hembra;VP64;HTT-NI;Oct 2019;;;;;;;;;24;#0C7BDC
17;289752411;;09-03-2020;Htt-;Macho;NoED;HTT-NI;Oct 2019;WGHT;;;;;;;;24;#0C7BDC
126;289839059;;22-03-2021;Htt-;Hembra;NoED;HTT-NI;Dec 2020;;;;;;;;;22;#0C7BDC
1;289752491;;06-03-2020;Htt-;Hembra;HTT-;HTT-NI;;WGHT;;;;;;;;21;#0C7BDC
2;289752626;;06-03-2020;Htt-;Macho;HTT-;HTT-NI;;;;;;;;;;21;#0C7BDC
7;289752954;;06-03-2020;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Oct 2019;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;24;#E69F00
24;289756720;;04-01-2021;Htt-;Macho;NI;HTT-NI;;;;;;;;;;21;#0C7BDC
32;289838910;;06-01-2021;Htt-;Hembra;NI;HTT-NI;;;;;;;;;;21;#0C7BDC
33;289838330;;06-01-2021;Htt-;Macho;NI;HTT-NI;;;;;;;;;;21;#0C7BDC
34;289838705;;06-01-2021;Htt-;Hembra;NI;HTT-NI;;WGHT;;;;;;;;21;#0C7BDC
35;289838310;;06-01-2021;Htt-;Macho;NI;HTT-NI;;;;;;;;;;21;#0C7BDC
