Short_ID;Test;ATF;index;ColorCode
R9119;RNORT;RHTT-NI;0,4264;error
9423;NORT;HTT-NI;0,7746;#0C7BDC
C4A3;NORT;HTT-NI;0,8017;#0C7BDC
R9312;RNORT;RHTT-NI;0,4564;error
C2A2;NORT;HTT-NI;0,8045;#0C7BDC
C4A2;NORT;HTT-NI;0,7893;#0C7BDC
RC2A3;RNORT;RHTT-NI;0,5573;error
C3A4;NORT;HTT+NI;0,9234;#994F00
C3A2;NORT;HTT+NI;0,8993;#994F00
C3A3;NORT;HTT+NI;0,8786;#994F00
6897;NORT;HTT+NI;0,8141;#994F00
8836;NORT;HTT+NI;0,7893;#994F00
8791;NORT;HTT+NI;0,8736;#994F00
8910;NORT;HTT+NI;0,9148;#994F00
C9A1;NORT;HTT+NI;0,9112;#994F00
C4A1;NORT;PSD95-6ZF-NoED;0,7893;#E69F00
9699;NORT;PSD95-6ZF-NoED;0,8286;#E69F00
9391;NORT;PSD95-6ZF-NoED;0,7841;#E69F00
3931;NORT;PSD95-6ZF-NoED;0,7793;#E69F00
9162;NORT;PSD95-6ZF-NoED;0,7756;#E69F00
C9A2;NORT;PSD95-6ZF-NoED;0,7958;#E69F00
9416;NORT;PSD95-6ZF-VP64;0,7264;#009E73
9143;NORT;PSD95-6ZF-VP64;0,6284;#009E73
9548;NORT;PSD95-6ZF-VP64;0,6342;#009E73
7223;NORT;PSD95-6ZF-VP64;0,7582;#009E73
C1A0;NORT;PSD95-6ZF-VP64;0,6882;#009E73
R9119;ROLT;RHTT-NI;0,5822;error
9423;OLT;HTT-NI;0,6791;#0C7BDC
C4A3;OLT;HTT-NI;0,7078;#0C7BDC
R9312;ROLT;RHTT-NI;0,5783;error
C2A2;OLT;HTT-NI;0,8591;#0C7BDC
C4A2;OLT;HTT-NI;0,7707;#0C7BDC
RC2A3;ROLT;RHTT-NI;0,6389;error
C3A4;OLT;HTT+NI;0,558;#994F00
C3A2;OLT;HTT+NI;0,444;#994F00
C3A3;OLT;HTT+NI;0,4915;#994F00
6897;OLT;HTT+NI;0,4864;#994F00
8836;OLT;HTT+NI;0,545;#994F00
8791;OLT;HTT+NI;0,4935;#994F00
8910;OLT;HTT+NI;0,5854;#994F00
C9A1;OLT;HTT+NI;0,4922;#994F00
C4A1;OLT;PSD95-6ZF-NoED;0,453;#E69F00
9699;OLT;PSD95-6ZF-NoED;0,4892;#E69F00
9391;OLT;PSD95-6ZF-NoED;0,4682;#E69F00
3931;OLT;PSD95-6ZF-NoED;0,4522;#E69F00
9162;OLT;PSD95-6ZF-NoED;0,492;#E69F00
C9A2;OLT;PSD95-6ZF-NoED;0,5482;#E69F00
9416;OLT;PSD95-6ZF-VP64;0,522;#009E73
9143;OLT;PSD95-6ZF-VP64;0,5122;#009E73
9548;OLT;PSD95-6ZF-VP64;0,5212;#009E73
7223;OLT;PSD95-6ZF-VP64;0,5962;#009E73
C1A0;OLT;PSD95-6ZF-VP64;0,5783;#009E73
R9119;RTraining;RHTT-NI;0,4181;error
9423;Training;HTT-NI;0,5084;#0C7BDC
C4A3;Training;HTT-NI;0,5583;#0C7BDC
R9312;RTraining;RHTT-NI;0,5084;error
C2A2;Training;HTT-NI;0,4485;#0C7BDC
C4A2;Training;HTT-NI;0,5017;#0C7BDC
RC2A3;RTraining;RHTT-NI;0,5284;error
C3A4;Training;HTT+NI;0,67;#994F00
C3A2;Training;HTT+NI;0,57;#994F00
C3A3;Training;HTT+NI;0,41;#994F00
6897;Training;HTT+NI;0,47;#994F00
8836;Training;HTT+NI;0,567;#994F00
8791;Training;HTT+NI;0,441;#994F00
8910;Training;HTT+NI;0,504;#994F00
C9A1;Training;HTT+NI;0,4;#994F00
9699;Training;PSD95-6ZF-NoED;0,507;#E69F00
9162;Training;PSD95-6ZF-NoED;0,5267;#E69F00
9391;Training;PSD95-6ZF-NoED;0,5158;#E69F00
3931;Training;PSD95-6ZF-NoED;0,515;#E69F00
C9A2;Training;PSD95-6ZF-NoED;0,5358;#E69F00
C4A1;Training;PSD95-6ZF-NoED;0,485;#E69F00
9416;Training;PSD95-6ZF-VP64;0,4585;#009E73
9143;Training;PSD95-6ZF-VP64;0,5131;#009E73
9548;Training;PSD95-6ZF-VP64;0,4585;#009E73
7223;Training;PSD95-6ZF-VP64;0,5556;#009E73
C1A0;Training;PSD95-6ZF-VP64;0,4897;#009E73
