Day;time;Short_ID;ATF;Week;ColorCode;Weight;Force
Day 1;45;3931;PSD95-6ZF-NoED;s6;#E69F00;19;0,6
Day 2;75;3931;PSD95-6ZF-NoED;s6;#E69F00;19;0,6
Day 3;80;3931;PSD95-6ZF-NoED;s6;#E69F00;19;0,6
Day 1;48;6897;HTT+NI;s6;#994F00;16;0,73
Day 2;46;6897;HTT+NI;s6;#994F00;16;0,73
Day 3;31;6897;HTT+NI;s6;#994F00;16;0,73
Day 1;161;7223;PSD95-6ZF-VP64;s6;#009E73;14;0,6
Day 2;151;7223;PSD95-6ZF-VP64;s6;#009E73;14;0,6
Day 3;125;7223;PSD95-6ZF-VP64;s6;#009E73;14;0,6
Day 1;44,7;8791;HTT+NI;s6;#994F00;16;0,72
Day 2;33,7;8791;HTT+NI;s6;#994F00;16;0,72
Day 3;41;8791;HTT+NI;s6;#994F00;16;0,72
Day 1;35;8836;HTT+NI;s6;#994F00;16;0,65
Day 2;60;8836;HTT+NI;s6;#994F00;16;0,65
Day 3;50;8836;HTT+NI;s6;#994F00;16;0,65
Day 1;23;8910;HTT+NI;s6;#994F00;17;0,64
Day 2;30;8910;HTT+NI;s6;#994F00;17;0,64
Day 3;22;8910;HTT+NI;s6;#994F00;17;0,64
Day 1;74;9119;HTT-NI;s6;#0C7BDC;16;0,9
Day 2;159;9119;HTT-NI;s6;#0C7BDC;16;0,9
Day 3;230;9119;HTT-NI;s6;#0C7BDC;16;0,9
Day 1;100;9143;PSD95-6ZF-VP64;s6;#009E73;19;0,7
Day 2;220;9143;PSD95-6ZF-VP64;s6;#009E73;19;0,7
Day 3;175;9143;PSD95-6ZF-VP64;s6;#009E73;19;0,7
Day 1;18;9162;PSD95-6ZF-NoED;s6;#E69F00;17;0,8
Day 2;59;9162;PSD95-6ZF-NoED;s6;#E69F00;17;0,8
Day 3;51;9162;PSD95-6ZF-NoED;s6;#E69F00;17;0,8
Day 1;119;9312;HTT-NI;s6;#0C7BDC;15;0,75
Day 2;182;9312;HTT-NI;s6;#0C7BDC;15;0,75
Day 3;128;9312;HTT-NI;s6;#0C7BDC;15;0,75
Day 1;28;9391;PSD95-6ZF-NoED;s6;#E69F00;16;0,7
Day 2;77;9391;PSD95-6ZF-NoED;s6;#E69F00;16;0,7
Day 3;50;9391;PSD95-6ZF-NoED;s6;#E69F00;16;0,7
Day 1;134;9416;PSD95-6ZF-VP64;s6;#009E73;14;0,8
Day 2;230;9416;PSD95-6ZF-VP64;s6;#009E73;14;0,8
Day 3;202;9416;PSD95-6ZF-VP64;s6;#009E73;14;0,8
Day 1;64;9423;HTT-NI;s6;#0C7BDC;14;0,95
Day 2;185;9423;HTT-NI;s6;#0C7BDC;14;0,95
Day 3;190;9423;HTT-NI;s6;#0C7BDC;14;0,95
Day 1;145;9548;PSD95-6ZF-VP64;s6;#009E73;19;1,1
Day 2;194;9548;PSD95-6ZF-VP64;s6;#009E73;19;1,1
Day 3;186;9548;PSD95-6ZF-VP64;s6;#009E73;19;1,1
Day 1;41;9699;PSD95-6ZF-NoED;s6;#E69F00;18;0,8
Day 2;118;9699;PSD95-6ZF-NoED;s6;#E69F00;18;0,8
Day 3;49;9699;PSD95-6ZF-NoED;s6;#E69F00;18;0,8
Day 1;141;C1A0;PSD95-6ZF-VP64;s6;#009E73;18;0,9
Day 2;149;C1A0;PSD95-6ZF-VP64;s6;#009E73;18;0,9
