Length_neck_nano;Length_neck_micro;Length_spine_nano;Length_spine_micro;Ratio;Minor_axis;Major_axis;Aspect_Ratio;Perimeter_Head_nano;Perimeter_Head_micro;Area_Head_sqrnano;Area_Head_sqrmicro;Smallest_neckwidth;Median_neckwidth;Average_neckwidth;# Neckline;Short_ATF;File;ATF;Symbol;ColorCode
7623,124;7,623124;9515,188;9,515188;80,115;1185,76;1373,511;0,863;4428,29;4,42829;1273669,106;1,273669106;17,246;32,499;106,4;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;23;#009E73
4808,94;4,80894;7362,119;7,362119;65,32;1553,298;2337,266;0,665;6558,577;6,558577;2863429,882;2,863429882;214,107;224,34;224,34;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;22;#E69F00
3968,685;3,968685;5681,971;5,681971;69,847;1212,49;1578,424;0,768;4907,893;4,907893;1506590,539;1,506590539;85,34;122,367;129,504;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;23;#009E73
4200,849;4,200849;5558,877;5,558877;75,57;217,505;1394,127;0,156;3280,108;3,280108;233576,633;0,233576633;2,376;17,692;17,966;2;VP64;VP64_C25M1C263X5XCSpine;PSD95-6ZF-VP64;23;#009E73
4200,849;4,200849;5558,877;5,558877;75,57;217,505;1394,127;0,156;3280,108;3,280108;233576,633;0,233576633;2,376;17,692;17,966;1;VP64;C2-VP64-5-M1-C2-63X-5XC;PSD95-6ZF-VP64;22;#E69F00
3827,531;3,827531;5424,747;5,424747;70,557;1345,417;1496,373;0,899;4589,45;4,58945;1569601,168;1,569601168;17,723;18,423;32,509;2;VP64;VP64_C21M1C163X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
3374,831;3,374831;5399,256;5,399256;62,505;512,532;1532,42;0,334;4745,303;4,745303;615362,614;0,615362614;17,029;19,078;37,912;1;VP64;C2-VP64-5-M1-C2-63X-5XC;PSD95-6ZF-VP64;22;#E69F00
3374,831;3,374831;5399,256;5,399256;62,505;512,532;1532,42;0,334;4745,303;4,745303;615362,614;0,615362614;17,29;19,78;37,912;2;VP64;VP64_C25M1C263X5XCSpine;PSD95-6ZF-VP64;23;#009E73
4162,795;4,162795;5163,79;5,16379;80,615;975,985;1149,151;0,849;3515,9;3,5159;893201,8;0,8932018;16,268;58,688;262,309;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;23;#009E73
3952,233;3,952233;4790,882;4,790882;82,495;233,505;698,395;0,334;2078,959;2,078959;121181,488;0,121181488;17,153;53,308;60,856;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;23;#009E73
3037,768;3,037768;4786,871;4,786871;63,46;775,429;1508,63;0,514;4038,254;4,038254;901961,573;0,901961573;17,782;96,72;106,42;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;22;#E69F00
