Date;ID;Short_ID;Born date;Age;Gen;ATFs;Sex;Weight;ATF;ColorCode;Sex
44287;289846926;6926;44277;1;+;VP64;Hembra*;4;PSD95-6ZF-VP64;#009E73;Female
44287;289756444;6444;44277;1;+;NoED;Hembra*;5;PSD95-6ZF-NoED;#E69F00;Female
44287;289838791;8791;44277;1;-;NI;Hembra*;6;HTT-NI;#0C7BDC;Female
44287;289756897;6897;44277;1;-;NI;Hembra*;6;HTT-NI;#0C7BDC;Female
44287;289838244;8244;44277;1;+;NoED;Hembra*;7;PSD95-6ZF-NoED;#E69F00;Female
44287;289838538;8538;44270;2;-;Tripan;Macho*;7;HTT-NI;#0C7BDC;Male
44287;289838124;8124;44270;2;+;NoED;Hembra*;7;PSD95-6ZF-NoED;#E69F00;Female
44287;289838941;8941;44270;2;+;VP64;Hembra*;7;PSD95-6ZF-VP64;#009E73;Female
44287;289838699;8699;44270;2;-;Tripan;Macho*;8;HTT-NI;#0C7BDC;Male
44287;289838187;8187;44270;2;+;NI;Macho*;8;HTT+NI;#994F00;Male
44582;290219691;9691;44565;2;+;NoED;Hembra;8;PSD95-6ZF-NoED;#E69F00;Female
44287;289838225;8225;44270;2;-;NI;Hembra*;8;HTT-NI;#0C7BDC;Female
44287;289838718;8718;44270;2;-;NI;Hembra*;8;HTT-NI;#0C7BDC;Female
44582;290220002;2;44565;2;+;VP64;Macho;8;PSD95-6ZF-VP64;#009E73;Male
44582;290219261;9261;44565;2;-;NI;Hembra;9;HTT-NI;#0C7BDC;Female
44582;290219312;9312;44565;2;-;NI;Hembra;9;HTT-NI;#0C7BDC;Female
44582;290219687;9687;44565;2;+;NoED;Hembra;9;PSD95-6ZF-NoED;#E69F00;Female
44226;289838087;8087;44209;2;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44582;290219495;9495;44565;2;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44582;290219686;9686;44565;2;-;NI;Macho;10;HTT-NI;#0C7BDC;Male
44582;290219220;9220;44565;2;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44582;290219316;9316;44565;2;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44582;290219917;9917;44565;2;+;NI;Hembra;10;HTT+NI;#994F00;Female
44582;290219687;9687;44565;2;+;NoED;Hembra;10;PSD95-6ZF-NoED;#E69F00;Female
44582;290219172;9172;44565;2;+;NoED;Macho;10;PSD95-6ZF-NoED;#E69F00;Male
44582;290219273;9273;44565;2;+;VP64;Hembra;10;PSD95-6ZF-VP64;#009E73;Female
44226;289838727;8727;44209;2;-;NI;Macho;11;HTT-NI;#0C7BDC;Male
44582;290219115;9115;44565;2;-;NI;Macho;11;HTT-NI;#0C7BDC;Male
44226;289838154;8154;44209;2;+;NI;Hembra;11;HTT+NI;#994F00;Female
44582;290219543;9543;44565;2;-;NI;Macho;11;HTT-NI;#0C7BDC;Male
44582;290219368;9368;44565;2;-;NI;Macho;11;HTT-NI;#0C7BDC;Male
44226;289838831;8831;44209;2;+;NI;Macho;11;HTT+NI;#994F00;Male
44582;290219137;9137;44565;2;+;NI;Macho;11;HTT+NI;#994F00;Male
44582;290219416;9416;44565;2;+;VP64;Macho;11;PSD95-6ZF-VP64;#009E73;Male
44366;289838416;8416;44344;3;+;NI;Hembra;2;HTT+NI;#994F00;Female
44295;289846926;6926;;3;+;VP64;Hembra*;5;PSD95-6ZF-VP64;#009E73;Female
44366;289838226;8226;44344;3;-;NI;Hembra;6;HTT-NI;#0C7BDC;Female
44366;289847190;7190;44343;3;+;NoED;Hembra;6;PSD95-6ZF-NoED;#E69F00;Female
44366;289838831;8831;44343;3;+;VP64;Hembra;6;PSD95-6ZF-VP64;#009E73;Female
44366;289838154;8154;44344;3;-;NI;Hembra;7;HTT-NI;#0C7BDC;Female
44366;289846362;6362;44344;3;+;NoED;Hembra;7;PSD95-6ZF-NoED;#E69F00;Female
44287;286655538;5538;44267;3;+;NoED;Macho*;7;PSD95-6ZF-NoED;#E69F00;Male
44295;289756444;6444;;3;+;NoED;Hembra*;7;PSD95-6ZF-NoED;#E69F00;Female
44287;287646828;6828;44267;3;-;NI;Macho*;8;HTT-NI;#0C7BDC;Male
44287;286766706;6706;44267;3;-;Tripan;Macho*;8;HTT-NI;#0C7BDC;Male
44366;289838582;8582;44344;3;+;NI;Hembra;8;HTT+NI;#994F00;Female
44287;289838546;8546;44267;3;+;NI;Macho*;8;HTT+NI;#994F00;Male
44287;289838879;8879;44269;3;+;NoED;Macho*;8;PSD95-6ZF-NoED;#E69F00;Male
44295;289838791;8791;;3;-;NI;Hembra*;8;HTT-NI;#0C7BDC;Female
44295;289756897;6897;;3;-;NI;Hembra*;8;HTT-NI;#0C7BDC;Female
44301;289756444;6444;;3;+;NoED;Hembra*;8;PSD95-6ZF-NoED;#E69F00;Female
44295;289838244;8244;;3;+;NoED;Hembra*;8;PSD95-6ZF-NoED;#E69F00;Female
44287;287069362;9362;44269;3;-;Tripan;Macho*;9;HTT-NI;#0C7BDC;Male
44366;287257800;7800;44344;3;-;NI;Hembra;9;HTT-NI;#0C7BDC;Female
44366;289838604;8604;44344;3;-;NI;Macho;9;HTT-NI;#0C7BDC;Male
44366;289847264;7264;44344;3;-;NI;Macho;9;HTT-NI;#0C7BDC;Male
44287;287020606;606;44265;3;+;NI;Hembra;9;HTT+NI;#994F00;Female
44366;354625472;5472;44343;3;+;NI;Hembra;9;HTT+NI;#994F00;Female
44287;289838224;8224;44269;3;+;NI;Macho*;9;HTT+NI;#994F00;Male
44287;287650977;977;44265;3;+;NoED;Hembra;9;PSD95-6ZF-NoED;#E69F00;Female
44287;287585371;5371;44267;3;-;Tripan;Hembra*;9;HTT-NI;#0C7BDC;Female
44287;286823797;3797;44267;3;+;VP64;Macho*;9;PSD95-6ZF-VP64;#009E73;Male
44287;287561632;1632;44269;3;-;NI;Macho*;10;HTT-NI;#0C7BDC;Male
44366;287491508;1508;44343;3;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44366;287716914;6914;44343;3;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44366;289756386;6386;44343;3;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44366;289756745;6745;44343;3;-;NI;Hembra;10;HTT-NI;#0C7BDC;Female
44582;290219641;9641;44561;3;-;NI;Macho;10;HTT-NI;#0C7BDC;Male
44366;lost;lost;44343;3;;NI;Hembra;10;HTT+NI;#994F00;Female
44226;289838515;8515;44202;3;+;VP64;Hembra;10;PSD95-6ZF-VP64;#009E73;Female
44226;289838244;8244;44204;3;-;NI;Macho;11;HTT-NI;#0C7BDC;Male
44582;290219423;9423;44561;3;-;NI;Hembra;11;HTT-NI;#0C7BDC;Female
44582;290219119;9119;44561;3;-;NI;Hembra;11;HTT-NI;#0C7BDC;Female
44582;290219824;9824;44561;3;-;NI;Hembra;11;HTT-NI;#0C7BDC;Female
44226;289838582;8582;44202;3;+;NoED;Hembra;11;PSD95-6ZF-NoED;#E69F00;Female
